State_Name,State_Code,FIPS,Met Objective of 2.4?,Age-Adjusted Death Rate (per 100000),Lower 95% Confidence Interval for Death Rate,Upper 95% Confidence Interval for Death Rate,Avg_Deaths_perY,Recent_Trend,Recent 5-Year Trend (2) in Death Rates,Lower 95% Confidence Interval for Trend,Upper 95% Confidence Interval for Trend,UV_Level,Population
Alabama,AL,1000,No,2.9,2.7,3.1,153,stable,0.3,-0.4,1.1,4505.16417910448,4830533
Arizona,AZ,4000,No,3,2.8,3.2,215,stable,0.1,-0.4,0.6,5528.46666666667,6630799
Arkansas,AR,5000,No,2.8,2.6,3.1,95,stable,0.3,-0.2,0.8,4515.34666666667,2957957
California,CA,6000,No,2.5,2.4,2.6,942,falling,-0.9,-1.2,-0.6,4871.41379310345,38414128
Colorado,CO,8000,No,3.2,3,3.4,161,stable,0.3,-0.5,1.1,4802.73015873016,5271132
Connecticut,CT,9000,Yes,2.4,2.2,2.7,107,stable,-0.5,-1.1,0.1,3832.5,3597168
Delaware,DE,10000,No,2.9,2.4,3.4,30,falling,-1,-1.9,-0.1,4074,925353
District of Columbia,DC,11001,Yes,1.1,0.8,1.6,7,*,*,*,*,4100,649540
Florida,FL,12000,No,3,2.9,3.1,751,stable,0.1,-0.1,0.3,4743.67164179104,19594467
Georgia,GA,13000,No,2.5,2.3,2.6,226,falling,-0.5,-1,-0.1,4563.9748427673,9991562
Idaho,ID,16000,No,3.6,3.2,4,59,rising,0.8,0.3,1.3,4170.54545454545,1612785
Illinois,IL,17000,No,2.5,2.4,2.7,346,rising,0.4,0,0.8,4117.46078431373,12889580
Indiana,IN,18000,No,3.1,3,3.3,222,rising,0.7,0.1,1.3,4019.38043478261,6570518
Iowa,IA,19000,No,2.9,2.7,3.2,107,stable,0.6,0,1.3,4053.54545454545,3092224
Kansas,KS,20000,No,3.1,2.8,3.3,97,stable,0.2,-0.4,0.8,4572.04761904762,2894630
Kentucky,KY,21000,No,3.2,3,3.5,153,rising,0.9,0.3,1.5,4113.825,4398500
Louisiana,LA,22000,Yes,2.3,2.1,2.5,106,stable,0,-0.6,0.5,4557.875,4627491
Maine,ME,23000,No,3,2.7,3.4,53,rising,0.7,0,1.3,3779.375,1328778
Maryland,MD,24000,No,2.6,2.5,2.8,162,stable,0.2,-0.2,0.7,4057.16666666667,5936040
Massachusetts,MA,25000,No,2.9,2.8,3.1,224,falling,-0.5,-0.9,0,3874.78571428571,6708810
Michigan,MI,26000,No,2.5,2.3,2.6,280,rising,0.7,0.3,1.1,3715.86746987952,9900506
Minnesota,MN,27000,No,2.6,2.4,2.8,152,stable,0.3,-0.2,0.7,3841.02298850575,5420541
Mississippi,MS,28000,Yes,2.2,2,2.5,71,stable,0.2,-0.6,1,4518.81707317073,2990976
Missouri,MO,29000,No,3.1,2.9,3.3,211,stable,0.4,-0.1,0.9,4308.33913043478,6043708
Montana,MT,30000,No,3,2.6,3.5,37,stable,0.5,-0.4,1.4,3927.96428571429,1014402
Nebraska,NE,31000,No,3.1,2.7,3.4,62,rising,1.2,0.3,2,4350.76344086022,1869300
Nevada,NV,32000,No,2.9,2.6,3.2,79,stable,-0.7,-1.7,0.3,4977,2790366
New Hampshire,NH,33000,No,2.8,2.4,3.2,42,stable,-0.1,-1.3,1,3841.5,1322660
New Jersey,NJ,34000,Yes,2.4,2.3,2.5,241,falling,-1.3,-1.9,-0.8,3951.09523809524,8907384
New Mexico,NM,35000,No,2.7,2.4,3,61,stable,-0.1,-1.1,0.9,5439.69696969697,2086890
New York,NY,36000,Yes,2.2,2.2,2.3,493,falling,-0.4,-0.6,-0.2,3745.12903225806,19691032
North Carolina,NC,37000,No,2.8,2.7,3,297,stable,-0.2,-0.6,0.2,4352.17,9845432
North Dakota,ND,38000,Yes,2.3,1.9,2.8,19,stable,0.2,-1.1,1.5,3902.11320754717,723626
Ohio,OH,39000,No,3,2.8,3.1,399,rising,0.7,0.3,1.1,3842.05681818182,11572232
Oklahoma,OK,40000,No,3.1,2.8,3.3,126,stable,-0.2,-0.9,0.5,4714.75324675325,3853405
Oregon,OR,41000,No,3.3,3.1,3.6,150,stable,0.3,-0.1,0.6,3977.77777777778,3928030
Pennsylvania,PA,42000,No,2.9,2.8,3,462,stable,0.2,-0.1,0.6,3809.20895522388,12783536
Rhode Island,RI,44000,No,2.5,2.2,3,34,stable,-0.1,-1.4,1.3,3881.4,1052856
South Carolina,SC,45000,No,2.7,2.5,2.9,141,stable,0.3,-0.4,0.9,4525.02173913043,4768498
South Dakota,SD,46000,Yes,2.2,1.8,2.7,21,stable,-1,-2.6,0.6,4111.74242424242,845270
Tennessee,TN,47000,No,3.1,2.9,3.3,221,stable,0.2,-0.3,0.7,4278.57894736842,6496130
Texas,TX,48000,Yes,2.4,2.3,2.5,548,falling,-0.8,-1.1,-0.4,4917.95275590551,26500674
Utah,UT,49000,No,3.7,3.4,4.1,84,stable,0.4,-0.4,1.2,4737.55172413793,2903685
Vermont,VT,50000,No,2.6,2.1,3.2,21,falling,-1.3,-2.4,-0.1,3744.07142857143,627129
Virginia,VA,51000,No,2.8,2.7,3,239,stable,0.2,-0.2,0.6,4181.98507462687,8267875
Washington,WA,53000,No,2.9,2.7,3.1,210,stable,0.1,-0.5,0.6,3594.10256410256,6973281
West Virginia,WV,54000,No,3.4,3,3.7,77,stable,0.7,0,1.4,3892.36363636364,1852985
Wisconsin,WI,55000,No,2.7,2.5,2.9,175,stable,0.5,0,1,3810.70833333333,5743653
Wyoming,WY,56000,No,3,2.4,3.7,18,stable,-0.3,-1.7,1.2,4350.52173913043,583131